precision,recall,f1-score,support
0.78,0.37,0.5,19.0
0.33,0.5,0.4,6.0
0.33,0.3,0.32,10.0
0.22,0.29,0.25,7.0
0.44,0.57,0.5,7.0
0.11,0.2,0.14,5.0
0.37,0.37,0.37,0.37
0.37,0.37,0.35,54.0
0.47,0.37,0.39,54.0
